"id","pais_id","codigo_dane","nombre","created_at","updated_at","deleted_at"
33,44,"99","VICHADA",NULL,NULL,NULL
32,44,"97","VAUPES",NULL,NULL,NULL
31,44,"76","VALLE DEL CAUCA",NULL,NULL,NULL
30,44,"73","TOLIMA",NULL,NULL,NULL
29,44,"70","SUCRE",NULL,NULL,NULL
28,44,"68","SANTANDER",NULL,NULL,NULL
27,44,"88","SAN ANDRES",NULL,NULL,NULL
26,44,"66","RISARALDA",NULL,NULL,NULL
25,44,"63","QUINDIO",NULL,NULL,NULL
24,44,"86","PUTUMAYO",NULL,NULL,NULL
23,44,"54","NORTE DE SANTANDER",NULL,NULL,NULL
22,44,"52","NARINO",NULL,NULL,NULL
21,44,"50","META",NULL,NULL,NULL
20,44,"47","MAGDALENA",NULL,NULL,NULL
19,44,"44","LA GUAJIRA",NULL,NULL,NULL
18,44,"41","HUILA",NULL,NULL,NULL
17,44,"95","GUAVIARE",NULL,NULL,NULL
16,44,"94","GUAINIA",NULL,NULL,NULL
15,44,"25","CUNDINAMARCA",NULL,NULL,NULL
14,44,"23","CORDOBA",NULL,NULL,NULL
13,44,"27","CHOCO",NULL,NULL,NULL
12,44,"20","CESAR",NULL,NULL,NULL
11,44,"19","CAUCA",NULL,NULL,NULL
10,44,"85","CASANARE",NULL,NULL,NULL
9,44,"18","CAQUETA",NULL,NULL,NULL
8,44,"17","CALDAS",NULL,NULL,NULL
7,44,"15","BOYACA",NULL,NULL,NULL
6,44,"13","BOLIVAR",NULL,NULL,NULL
5,44,"11","BOGOTA",NULL,NULL,NULL
4,44,"08","ATLANTICO",NULL,NULL,NULL
3,44,"81","ARAUCA",NULL,NULL,NULL
2,44,"05","ANTIOQUIA",NULL,NULL,NULL
1,44,"91","AMAZONAS",NULL,NULL,NULL
