"id","codigo_dian","nombre","abreviatura","created_at","updated_at","deleted_at"
226,"665","ZIMBABWE","ZWE",NULL,NULL,NULL
225,"890","ZAMBIA","ZMB",NULL,NULL,NULL
224,"880","YEMEN","YEM",NULL,NULL,NULL
223,"855","VIETNAM","VNM",NULL,NULL,NULL
222,"850","VENEZUELA","VEN",NULL,NULL,NULL
221,"551","VANUATU","VUT",NULL,NULL,NULL
220,"847","UZBEKISTAN","UZB",NULL,NULL,NULL
219,"845","URUGUAY","URY",NULL,NULL,NULL
218,"833","UGANDA","UGA",NULL,NULL,NULL
217,"830","UCRANIA","UKR",NULL,NULL,NULL
216,"828","TUVALU","TUV",NULL,NULL,NULL
215,"827","TURQUIA","TUR",NULL,NULL,NULL
214,"825","TURKMENISTAN","TKM",NULL,NULL,NULL
213,"820","TUNEZ","TUN",NULL,NULL,NULL
212,"815","TRINIDAD Y TOBAGO","TTO",NULL,NULL,NULL
211,"810","TONGA","TON",NULL,NULL,NULL
210,"805","TOKELAU","TKL",NULL,NULL,NULL
209,"800","TOGO","TGO",NULL,NULL,NULL
208,"788","TIMOR DEL ESTE","TLS",NULL,NULL,NULL
207,"780","TANZANIA","TZA",NULL,NULL,NULL
206,"218","TAIWAN","TWN",NULL,NULL,NULL
205,"776","TAILANDIA","THA",NULL,NULL,NULL
204,"774","TADJIKISTAN","TJK",NULL,NULL,NULL
203,"773","SWAZILANDIA","SWZ",NULL,NULL,NULL
202,"770","SURINAM","SUR",NULL,NULL,NULL
201,"767","SUIZA","CHE",NULL,NULL,NULL
200,"764","SUECIA","SWE",NULL,NULL,NULL
199,"759","SUDAN","SDN",NULL,NULL,NULL
198,"756","SUDAFRICA","ZAF",NULL,NULL,NULL
197,"750","SRI LANKA","LKA",NULL,NULL,NULL
196,"748","SOMALIA","SOM",NULL,NULL,NULL
195,"744","SIRIA","SYR",NULL,NULL,NULL
194,"741","SINGAPUR","SGP",NULL,NULL,NULL
193,"735","SIERRA LEONA","SLE",NULL,NULL,NULL
192,"731","SEYCHELLES","SYC",NULL,NULL,NULL
191,"728","SENEGAL","SEN",NULL,NULL,NULL
190,"705","SAN VICENTE Y LAS GRANADINAS","VCT",NULL,NULL,NULL
189,"720","SANTO TOME Y PRINCIPE","STP",NULL,NULL,NULL
188,"159","VATICANO","VAT",NULL,NULL,NULL
187,"715","SANTA LUCIA","LCA",NULL,NULL,NULL
186,"710","SANTA ELENA","GRB",NULL,NULL,NULL
185,"700","SAN PEDRO Y MIGUELON","SPM",NULL,NULL,NULL
184,"697","SAN MARINO","SMR",NULL,NULL,NULL
183,"695","SAN CRISTOBAL Y NIEVES","KNA",NULL,NULL,NULL
182,"690","SAMOA NORTEAMERICANA","ASM",NULL,NULL,NULL
181,"687","SAMOA","WSM",NULL,NULL,NULL
180,"685","SAHARA OCCIDENTAL","WSM",NULL,NULL,NULL
179,"676","RUSIA","RUS",NULL,NULL,NULL
178,"670","RUMANIA","ROU",NULL,NULL,NULL
177,"675","RUANDA","RWA",NULL,NULL,NULL
176,"660","REUNION","FRA",NULL,NULL,NULL
175,"647","REPUBLICA DOMINICANA","DOM",NULL,NULL,NULL
174,"644","REPUBLICA CHECA","CZE",NULL,NULL,NULL
173,"640","REPUBLICA CENTROAFRICANA","CAF",NULL,NULL,NULL
172,"628","REINO UNIDO","GBR",NULL,NULL,NULL
171,"618","QATAR","QAT",NULL,NULL,NULL
170,"611","PUERTO RICO","PRI",NULL,NULL,NULL
169,"607","PORTUGAL","PRT",NULL,NULL,NULL
168,"603","POLONIA","POL",NULL,NULL,NULL
167,"589","PERU","PER",NULL,NULL,NULL
166,"586","PARAGUAY","PRY",NULL,NULL,NULL
165,"545","PAPUASIA NUEVA GUINEA","PNG",NULL,NULL,NULL
164,"580","PANAMA","PAN",NULL,NULL,NULL
163,"576","PAKISTAN","PAK",NULL,NULL,NULL
162,"556","OMAN","OMN",NULL,NULL,NULL
161,"548","NUEVA ZELANDIA","NZL",NULL,NULL,NULL
160,"542","NUEVA CALEDONIA","NCL",NULL,NULL,NULL
159,"538","NORUEGA","NOR",NULL,NULL,NULL
158,"528","NIGERIA","NGA",NULL,NULL,NULL
157,"525","NIGER","NER",NULL,NULL,NULL
156,"521","NICARAGUA","NIC",NULL,NULL,NULL
155,"517","NEPAL","NPL",NULL,NULL,NULL
154,"508","NAURU","NRU",NULL,NULL,NULL
153,"507","NAMIBIA","NAM",NULL,NULL,NULL
152,"505","MOZAMBIQUE","MOZ",NULL,NULL,NULL
151,"497","MONGOLIA","MNG",NULL,NULL,NULL
150,"498","MONACO","MCO",NULL,NULL,NULL
149,"496","MOLDAVIA","MDA",NULL,NULL,NULL
148,"494","MICRONESIA","FSM",NULL,NULL,NULL
147,"493","MEXICO","MEX",NULL,NULL,NULL
146,"488","MAURITANIA","MRT",NULL,NULL,NULL
145,"485","MAURICIO","MUS",NULL,NULL,NULL
144,"477","MARTINICA","MTQ",NULL,NULL,NULL
143,"474","MARRUECOS","MAR",NULL,NULL,NULL
142,"467","MALTA","MLT",NULL,NULL,NULL
141,"464","MALI","MLI",NULL,NULL,NULL
140,"461","MALDIVAS","MDV",NULL,NULL,NULL
139,"455","MALAYSIA","MYS",NULL,NULL,NULL
138,"458","MALAWI","MWI",NULL,NULL,NULL
137,"450","MADAGASCAR","MDG",NULL,NULL,NULL
136,"448","MACEDONIA","MKD",NULL,NULL,NULL
135,"447","MACAO","MAC",NULL,NULL,NULL
134,"445","LUXEMBURGO","LUX",NULL,NULL,NULL
133,"443","LITUANIA","LTU",NULL,NULL,NULL
132,"440","LIECHTENSTEIN","LIE",NULL,NULL,NULL
131,"438","LIBIA","LBY",NULL,NULL,NULL
130,"434","LIBERIA","LBR",NULL,NULL,NULL
129,"431","LIBANO","LBN",NULL,NULL,NULL
128,"429","LETONIA","LVA",NULL,NULL,NULL
127,"426","LESOTHO","LSO",NULL,NULL,NULL
126,"420","LAOS","LAO",NULL,NULL,NULL
125,"413","KUWAIT","KWT",NULL,NULL,NULL
124,"411","KIRIBATI","KIR",NULL,NULL,NULL
123,"412","KIRGUIZISTAN","KGZ",NULL,NULL,NULL
122,"410","KENIA","KEN",NULL,NULL,NULL
121,"406","KASAJSTAN","KAZ",NULL,NULL,NULL
120,"403","JORDANIA","JOR",NULL,NULL,NULL
119,"399","JAPON","JPN",NULL,NULL,NULL
